Name,Rating,Reviews,Category,Address,Website,Phone,Url
"Greenbrier Dental Excellence","4.8","237","Dental clinic","2524 US-41, Greenbrier, TN 37073, United States","http://www.greenbrierdentalexcellence.com/","+1 615-643-0038","https://www.google.com/maps/place/Greenbrier+Dental+Excellence/data=!4m7!3m6!1s0x886450dccd17b627:0x1b9efab202ae8ee8!8m2!3d36.426464!4d-86.8051147!16s%2Fg%2F1tg5vstw!19sChIJJ7YXzdxQZIgR6I6uArL6nhs?authuser=0&hl=en&rclk=1"
"Cumberland Pediatric Dentistry & Orthodontics of White House","4.8","753","Pediatric dentist","520 TN-76 #9, White House, TN 37188, United States","https://cpdowhitehouse.com/?utm_source=ExtNet&utm_medium=organic&utm_campaign=Yext","+1 615-672-7221","https://www.google.com/maps/place/Cumberland+Pediatric+Dentistry+%26+Orthodontics+of+White+House/data=!4m7!3m6!1s0x88644eaec8c9eaf7:0x9a827f4d48ca00b0!8m2!3d36.4704447!4d-86.667146!16s%2Fg%2F1hhgt0xkf!19sChIJ9-rJyK5OZIgRsADKSE1_gpo?authuser=0&hl=en&rclk=1"
"East Nashville Family Dentistry","4.5","219","Dentist","1214 Gallatin Ave Suite 115, Nashville, TN 37206, United States","https://enfdentistry.com/","+1 615-610-1680","https://www.google.com/maps/place/East+Nashville+Family+Dentistry/data=!4m7!3m6!1s0x886467202ee860ad:0xe604ffb3e6d875a4!8m2!3d36.1916961!4d-86.7453231!16s%2Fg%2F11hdr97zyd!19sChIJrWDoLiBnZIgRpHXY5rP_BOY?authuser=0&hl=en&rclk=1"
"Hendersonville Family Dentistry LLC","4.9","1,919","Dentist","230 New Shackle Island Rd STE 170, Hendersonville, TN 37075, United States","https://www.hendersonvillefamilydentistry.com/","+1 615-822-8262","https://www.google.com/maps/place/Hendersonville+Family+Dentistry+LLC/data=!4m7!3m6!1s0x886446decc4e2521:0x537d08fc2abbf368!8m2!3d36.3191133!4d-86.6235315!16s%2Fg%2F1tls3ksj!19sChIJISVOzN5GZIgRaPO7KvwIfVM?authuser=0&hl=en&rclk=1"
"Dentistry of Nashville","4.9","856","Dentist","2125 Blakemore Ave, Nashville, TN 37212, United States","https://dentistryofnashville.com/","+1 615-383-3690","https://www.google.com/maps/place/Dentistry+of+Nashville/data=!4m7!3m6!1s0x886466a1dd900c65:0x7250f245391794d6!8m2!3d36.137544!4d-86.803203!16s%2Fg%2F1hc0ybk2x!19sChIJZQyQ3aFmZIgR1pQXOUXyUHI?authuser=0&hl=en&rclk=1"
"Nashville Dental Center","4.5","589","Dentist","3754 Nolensville Pk, Nashville, TN 37211, United States","https://www.nashvilledc.net/","+1 615-331-2483","https://www.google.com/maps/place/Nashville+Dental+Center/data=!4m7!3m6!1s0x88646f78468fffff:0x44356d99786593b4!8m2!3d36.0903551!4d-86.7331503!16s%2Fg%2F1tjwjg_4!19sChIJ__-PRnhvZIgRtJNleJltNUQ?authuser=0&hl=en&rclk=1"
"Tennessee Family Dental (Brentwood)","4.7","530","Dentist","6716 Nolensville Pk #120, Brentwood, TN 37027, United States","https://tnfamilydental.com/locations/brentwood/","+1 615-331-5977","https://www.google.com/maps/place/Tennessee+Family+Dental+%28Brentwood%29/data=!4m7!3m6!1s0x88647aaa02e4094d:0x581c4303cc2c0c6d!8m2!3d35.998201!4d-86.6895628!16s%2Fg%2F11r9536q3!19sChIJTQnkAqp6ZIgRbQwszANDHFg?authuser=0&hl=en&rclk=1"
"Indian Lake Family Dental","4.9","913","Dentist","299A Indian Lake Blvd, Hendersonville, TN 37075, United States","http://indianlakefamilydental.com/","+1 615-824-2926","https://www.google.com/maps/place/Indian+Lake+Family+Dental/data=!4m7!3m6!1s0x886440b69ce73995:0x3d7665ac50dbb54f!8m2!3d36.3292045!4d-86.5943679!16s%2Fg%2F1td48qbh!19sChIJlTnnnLZAZIgRT7XbUKxldj0?authuser=0&hl=en&rclk=1"
"Goodlettsville Smiles","5.0","742","Dentist","3050 Business Park Cir #100, Goodlettsville, TN 37072, United States","https://www.goodlettsvillesmiles.com/","+1 615-859-0188","https://www.google.com/maps/place/Goodlettsville+Smiles/data=!4m7!3m6!1s0x8864450672638f97:0x820c36013ab8353f!8m2!3d36.3323175!4d-86.7031236!16s%2Fg%2F11gk_mg2yx!19sChIJl49jcgZFZIgRPzW4OgE2DII?authuser=0&hl=en&rclk=1"
"West Meade Dental","4.8","407","Dentist","6606 Charlotte Pike #102, Nashville, TN 37209, United States","http://westmeadedental.com/","+1 615-861-2241","https://www.google.com/maps/place/West+Meade+Dental/data=!4m7!3m6!1s0x8864618b258ce91d:0xdbabab4ad64ed733!8m2!3d36.1388314!4d-86.8817102!16s%2Fg%2F1jkw3415t!19sChIJHemMJYthZIgRM9dO1kqrq9s?authuser=0&hl=en&rclk=1"
"Downtown Dental","4.8","368","Dentist","101 Union St N, Nashville, TN 37201, United States","http://www.downtowndentalnashville.com/","+1 615-254-1393","https://www.google.com/maps/place/Downtown+Dental/data=!4m7!3m6!1s0x8864665750ecf543:0xe226ce94555597c1!8m2!3d36.166097!4d-86.777065!16s%2Fg%2F1tfpkk5c!19sChIJQ_XsUFdmZIgRwZdVVZTOJuI?authuser=0&hl=en&rclk=1"
"Iroquois Family Dentistry","5.0","824","Dentist","5115 Harding Pike Ste 101, Nashville, TN 37205, United States","https://www.ifdnashville.com/","+1 615-298-2040","https://www.google.com/maps/place/Iroquois+Family+Dentistry/data=!4m7!3m6!1s0x886463dcdd493741:0xb1d7f062053187a6!8m2!3d36.1043153!4d-86.8687329!16s%2Fg%2F11f9j8gbkj!19sChIJQTdJ3dxjZIgRpocxBWLw17E?authuser=0&hl=en&rclk=1"
"Belle Meade Family Dentistry","4.9","733","Dentist","104 Kenner Ave #101, Nashville, TN 37205, United States","https://www.bellemeadedental.com/","+1 615-298-2030","https://www.google.com/maps/place/Belle+Meade+Family+Dentistry/data=!4m7!3m6!1s0x886463dcc2b37c7d:0x980ef83f63fbf233!8m2!3d36.1252403!4d-86.8453369!16s%2Fg%2F1td2653q!19sChIJfXyzwtxjZIgRM_L7Yz_4Dpg?authuser=0&hl=en&rclk=1"
"Green Hills Family Dentistry","4.9","807","Dentist","4301 Hillsboro Pike Suite 315, Nashville, TN 37215, United States","http://greenhillsfamilydentistry.com/","+1 615-383-6066","https://www.google.com/maps/place/Green+Hills+Family+Dentistry/data=!4m7!3m6!1s0x8864638781788f67:0xdf0936f668ccbda0!8m2!3d36.099132!4d-86.822347!16s%2Fg%2F1tdy55xf!19sChIJZ494gYdjZIgRoL3MaPY2Cd8?authuser=0&hl=en&rclk=1"
"Mt. Juliet Family & Cosmetic Dentistry","5.0","624","Dentist","40 W Caldwell St, Mt. Juliet, TN 37122, United States","https://www.dentistmtjuliettn.com/","+1 615-754-5840","https://www.google.com/maps/place/Mt.+Juliet+Family+%26+Cosmetic+Dentistry/data=!4m7!3m6!1s0x8864158ef6136d8d:0x8acec2066f42875b!8m2!3d36.2029691!4d-86.5188345!16s%2Fg%2F1tdfzgbb!19sChIJjW0T9o4VZIgRW4dCbwbCzoo?authuser=0&hl=en&rclk=1"
"Hermitage Family & Cosmetic Dentistry","4.9","143","Dentist","260 Jackson Meadows Dr #1425, Hermitage, TN 37076, United States","https://hermitagefamilycosmetic.com/","+1 615-872-7762","https://www.google.com/maps/place/Hermitage+Family+%26+Cosmetic+Dentistry/data=!4m7!3m6!1s0x8864401f5f94a963:0xe05f0c1184fa56e!8m2!3d36.2191738!4d-86.6004333!16s%2Fg%2F1w0p6c9p!19sChIJY6mUXx9AZIgRbqVPGMHwBQ4?authuser=0&hl=en&rclk=1"
"Cornerstone Family Dentistry","4.9","201","Dentist","404 Welshwood Dr STE A, Nashville, TN 37211, United States","http://www.cornerstoneoralhealthcare.com/","+1 615-333-3382","https://www.google.com/maps/place/Cornerstone+Family+Dentistry/data=!4m7!3m6!1s0x88646f9b8bce3231:0x65d97a9fee9d9162!8m2!3d36.0826714!4d-86.7281089!16s%2Fg%2F1vvr6ys0!19sChIJMTLOi5tvZIgRYpGd7p962WU?authuser=0&hl=en&rclk=1"
"East Nashville Aesthetic Dentistry","4.6","204","Dentist","815 Gallatin Ave, Nashville, TN 37206, United States","http://www.eastnashvilledentistry.com/","+1 615-208-4447","https://www.google.com/maps/place/East+Nashville+Aesthetic+Dentistry/data=!4m7!3m6!1s0x886467103cbe0c77:0x33da291ea0bd605d!8m2!3d36.1864295!4d-86.7470114!16s%2Fg%2F11f7b5fwtj!19sChIJdwy-PBBnZIgRXWC9oB4p2jM?authuser=0&hl=en&rclk=1"
"Hermitage Modern Dentistry","4.9","276","Dentist","4730 Lebanon Pike Ste 101, Hermitage, TN 37076, United States","https://www.hermitagemoderndentistry.com/?sc_cid=GBP%3AO%3AGP%3A857%3AOrganic_Search%3AGeneral%3Ana&_vsrefdom=organic_gbp&y_source=1_MTU1NzEwNTYtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D","+1 615-219-5722","https://www.google.com/maps/place/Hermitage+Modern+Dentistry/data=!4m7!3m6!1s0x886441de4cc96267:0xbbebb7611bbffa1d!8m2!3d36.2153376!4d-86.5916585!16s%2Fg%2F11nmt7phr3!19sChIJZ2LJTN5BZIgRHfq_G2G367s?authuser=0&hl=en&rclk=1"
"Gallatin Smiles Dentistry","4.5","184","Dentist","923 Nashville Pike STE A, Gallatin, TN 37066, United States","https://www.gallatinsmilesdentistry.com/?sc_cid=GBP%3AO%3AGP%3A849%3AOrganic_Search%3AGeneral%3Ana&_vsrefdom=organic_gbp&y_source=1_MzQ3NzQ5My03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D","+1 615-241-8022","https://www.google.com/maps/place/Gallatin+Smiles+Dentistry/data=!4m7!3m6!1s0x88643a7083185e43:0xb4a7c99e6cd2c9b6!8m2!3d36.3768295!4d-86.4697469!16s%2Fg%2F11cp7jls51!19sChIJQ14Yg3A6ZIgRtsnSbJ7Jp7Q?authuser=0&hl=en&rclk=1"
"Hendersonville Smiles Dentistry","4.4","234","Dentist","1002 Glenbrook Way #200, Hendersonville, TN 37075, United States","https://www.hendersonvillesmilesdentistry.com/?sc_cid=GBP%3AO%3AGP%3A854%3AOrganic_Search%3AGeneral%3Ana&_vsrefdom=organic_gbp&y_source=1_ODQ1ODI2Ni03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D","+1 615-280-8027","https://www.google.com/maps/place/Hendersonville+Smiles+Dentistry/data=!4m7!3m6!1s0x886446e2a21b05ab:0x96785116f3e7fa3a!8m2!3d36.3339342!4d-86.6187363!16s%2Fg%2F11fzf6hykl!19sChIJqwUbouJGZIgROvrn8xZReJY?authuser=0&hl=en&rclk=1"
"Mt Juliet Dental Group","4.0","189","Dentist","4155 N Mt Juliet Rd, Mt. Juliet, TN 37122, United States","https://www.mtjulietdentalgroup.com/?sc_cid=GBP%3AO%3AGP%3A845%3AOrganic_Search%3AGeneral%3Ana&_vsrefdom=organic_gbp&y_source=1_NTg4ODM0Ny03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D","+1 615-241-8023","https://www.google.com/maps/place/Mt+Juliet+Dental+Group/data=!4m7!3m6!1s0x88643e13dc7743c9:0xfbc78bc28965b896!8m2!3d36.2291443!4d-86.5132534!16s%2Fg%2F11g7_fp8lb!19sChIJyUN33BM-ZIgRlrhlicKLx_s?authuser=0&hl=en&rclk=1"
"Smiles Up Dentistry","4.9","351","Dentist","1916 Patterson St Suite 712, Nashville, TN 37203, United States","http://nashvillesmilesup.com/","+1 615-678-8965","https://www.google.com/maps/place/Smiles+Up+Dentistry/data=!4m7!3m6!1s0x886467b0f1c56357:0x2f4b69ac87b478ed!8m2!3d36.1558065!4d-86.8018296!16s%2Fg%2F11k77bgqjf!19sChIJV2PF8bBnZIgR7Xi0h6xpSy8?authuser=0&hl=en&rclk=1"
"Music City Dental","4.9","456","Dentist","808 Kirkwood Ave, Nashville, TN 37204, United States","https://www.musiccitydental.com/","+1 615-953-2469","https://www.google.com/maps/place/Music+City+Dental/data=!4m7!3m6!1s0x886465d142fe8c85:0xb87622e4690fd8e2!8m2!3d36.1215284!4d-86.7765328!16s%2Fg%2F12hp45wpr!19sChIJhYz-QtFlZIgR4tgPaeQidrg?authuser=0&hl=en&rclk=1"
"Nolensville Family Dentistry","4.9","138","Dentist","7171 Nolensville Rd #102, Nolensville, TN 37135, United States","","+1 615-891-4223","https://www.google.com/maps/place/Nolensville+Family+Dentistry/data=!4m7!3m6!1s0x88647146240ee011:0xa68b19fa65e0a22b!8m2!3d35.9679572!4d-86.6778756!16s%2Fg%2F11bwnd3t5l!19sChIJEeAOJEZxZIgRK6LgZfoZi6Y?authuser=0&hl=en&rclk=1"
"Cane Ridge Dentist","4.7","1,232","Dentist","1315 Bell Rd, Antioch, TN 37013, United States","http://caneridgedentist.com/","+1 615-717-0507","https://www.google.com/maps/place/Cane+Ridge+Dentist/data=!4m7!3m6!1s0x88646e1c22593893:0x3b7d2f7f660e61a8!8m2!3d36.046664!4d-86.676189!16s%2Fg%2F1tftg11c!19sChIJkzhZIhxuZIgRqGEOZn8vfTs?authuser=0&hl=en&rclk=1"
"Greenwood Local Dentistry and Orthodontics","4.9","246","Dentist","1112 Gallatin Ave, Nashville, TN 37206, United States","https://greenwoodlocal.com/","+1 615-761-9015","https://www.google.com/maps/place/Greenwood+Local+Dentistry+and+Orthodontics/data=!4m7!3m6!1s0x886467792077f8ef:0xa36d2cf7aec39fb5!8m2!3d36.1903192!4d-86.7458028!16s%2Fg%2F11s1v3nspb!19sChIJ7_h3IHlnZIgRtZ_DrvcsbaM?authuser=0&hl=en&rclk=1"
"Cool Springs Family Dentistry, PLLC","5.0","149","Dentist","8113 Moores Ln Suite 2100, Brentwood, TN 37027, United States","http://www.coolspringsdentistry.com/","+1 615-942-7811","https://www.google.com/maps/place/Cool+Springs+Family+Dentistry,+PLLC/data=!4m7!3m6!1s0x88647bdde17e191f:0xf6b37c49604367ad!8m2!3d35.965267!4d-86.801285!16s%2Fg%2F1tl0y23r!19sChIJHxl-4d17ZIgRrWdDYEl8s_Y?authuser=0&hl=en&rclk=1"
"Lenox Village Dentistry","4.9","214","Dentist","6905 Lenox Village Dr, Nashville, TN 37211, United States","http://www.lenoxvillagedentistry.com/","+1 615-832-2095","https://www.google.com/maps/place/Lenox+Village+Dentistry/data=!4m7!3m6!1s0x88647039c806f055:0x5af5916fcb60b938!8m2!3d36.0261815!4d-86.7126479!16s%2Fg%2F1tp27_y8!19sChIJVfAGyDlwZIgROLlgy2-R9Vo?authuser=0&hl=en&rclk=1"
"Lignum Dental","4.9","248","Dentist","5295 Murfreesboro Rd, La Vergne, TN 37086, United States","https://www.lignumdental.com/","+1 615-930-0380","https://www.google.com/maps/place/Lignum+Dental/data=!4m7!3m6!1s0x88640d1303174645:0x3a39be1d6e81f141!8m2!3d36.0178985!4d-86.565361!16s%2Fg%2F11qq6bkz0v!19sChIJRUYXAxMNZIgRQfGBbh2-OTo?authuser=0&hl=en&rclk=1"
"21st Century Dentistry","5.0","265","Dentist","2300 21st Ave S #102, Nashville, TN 37212, United States","https://21dentistry.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb+website+button","+1 615-383-4747","https://www.google.com/maps/place/21st+Century+Dentistry/data=!4m7!3m6!1s0x8864641f4fab18cb:0xa66941d77c362235!8m2!3d36.1288808!4d-86.8024164!16s%2Fg%2F1tfn3gtq!19sChIJyxirTx9kZIgRNSI2fNdBaaY?authuser=0&hl=en&rclk=1"
"Embassy Dental (Nashville)","4.4","398","Dental clinic","1921 21st Ave S, Nashville, TN 37212, United States","https://embassydental.com/locations/hillsboro/","+1 615-383-0670","https://www.google.com/maps/place/Embassy+Dental+%28Nashville%29/data=!4m7!3m6!1s0x8864669ffa735c8d:0x1ccb3929eab88e85!8m2!3d36.1343802!4d-86.8015401!16s%2Fg%2F1tfc2rqr!19sChIJjVxz-p9mZIgRhY646ik5yxw?authuser=0&hl=en&rclk=1"
"Inglewood Family Dentistry","4.9","107","Dentist","4311 Gallatin Pike, Nashville, TN 37216, United States","https://inglewoodfamilydentistry.com/","+1 615-228-9066","https://www.google.com/maps/place/Inglewood+Family+Dentistry/data=!4m7!3m6!1s0x886442a37480b723:0xef48b904ff76852f!8m2!3d36.2270943!4d-86.7258841!16s%2Fg%2F1vj5_ypv!19sChIJI7eAdKNCZIgRL4V2_wS5SO8?authuser=0&hl=en&rclk=1"
"Family & Cosmetic Dentistry Of Smyrna","4.9","299","Dentist","780 Nissan Dr, Smyrna, TN 37167, United States","https://www.smyrnasmiles.com/","+1 615-355-1062","https://www.google.com/maps/place/Family+%26+Cosmetic+Dentistry+Of+Smyrna/data=!4m7!3m6!1s0x88640e98eef654ab:0xd44bd5825baf4d60!8m2!3d35.9748594!4d-86.4930721!16s%2Fg%2F1tkc2vfl!19sChIJq1T27pgOZIgRYE2vW4LVS9Q?authuser=0&hl=en&rclk=1"
"Sylvan Park Smiles Dentistry","4.2","113","Dentist","4502 Charlotte Pike, Nashville, TN 37209, United States","https://www.sylvanparksmilesdentistry.com/?sc_cid=GBP%3AO%3AGP%3A863%3AOrganic_Search%3AGeneral%3Ana&_vsrefdom=organic_gbp&y_source=1_MTM1NDU1ODMtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D","+1 615-647-8421","https://www.google.com/maps/place/Sylvan+Park+Smiles+Dentistry/data=!4m7!3m6!1s0x8864616b91d7b597:0xa44691ec6da391f!8m2!3d36.152367!4d-86.8413335!16s%2Fg%2F11h7rr56wm!19sChIJl7XXkWthZIgRHznaxh5pRAo?authuser=0&hl=en&rclk=1"
"East Side Smiles","4.9","312","Dentist","7 N 10th St, Nashville, TN 37206, United States","https://www.eastsidesmiles.net/","+1 615-227-2400","https://www.google.com/maps/place/East+Side+Smiles/data=!4m7!3m6!1s0x886467d27f899753:0x819301f4c8fbf39c!8m2!3d36.1786291!4d-86.7516534!16s%2Fg%2F1tc_4v3c!19sChIJU5eJf9JnZIgRnPP7yPQBk4E?authuser=0&hl=en&rclk=1"
"Nashville Family Dentistry","4.8","273","Dental clinic","5802 Nolensville Pk, Nashville, TN 37211, United States","https://familydentistrynashville.com/","+1 615-832-5899","https://www.google.com/maps/place/Nashville+Family+Dentistry/data=!4m7!3m6!1s0x88647027f5c287fb:0x8c6f76f542387fd3!8m2!3d36.044314!4d-86.7124118!16s%2Fg%2F1tdd1f51!19sChIJ-4fC9SdwZIgR0384QvV2b4w?authuser=0&hl=en&rclk=1"
"Brentwood Dentist - Wesley Dentistry","5.0","164","Dentist","761 Old Hickory Blvd #100, Brentwood, TN 37027, United States","https://www.wesleydentistry.com/brentwood-office/","+1 615-377-0111","https://www.google.com/maps/place/Brentwood+Dentist+-+Wesley+Dentistry/data=!4m7!3m6!1s0x88647ad3fdaa95c3:0x32dd996eb520d3e0!8m2!3d36.040677!4d-86.776594!16s%2Fg%2F1td1qmd2!19sChIJw5Wq_dN6ZIgR4NMgtW6Z3TI?authuser=0&hl=en&rclk=1"
"Mt. Juliet Modern Dentistry","4.8","75","Dentist","600 S Mt Juliet Rd Ste #3, Mt. Juliet, TN 37122, United States","https://www.mtjulietmoderndentistry.com/?sc_cid=GBP%3AO%3AGP%3A1033%3AOrganic_Search%3AGeneral%3Ana&_vsrefdom=organic_gbp&y_source=1_MzA5ODg2MzEtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D","+1 615-716-1653","https://www.google.com/maps/place/Mt.+Juliet+Modern+Dentistry/data=!4m7!3m6!1s0x886415eccf6419b1:0x820aea0286895dbc!8m2!3d36.1634212!4d-86.5156114!16s%2Fg%2F11t9nr_cy3!19sChIJsRlkz-wVZIgRvF2JhgLqCoI?authuser=0&hl=en&rclk=1"
"Hermitage Cosmetic and Implant Dentistry","5.0","1,222","Dentist","4251 Lebanon Pike, Hermitage, TN 37076, United States","https://www.hcidentistry.com/","+1 615-889-5545","https://www.google.com/maps/place/Hermitage+Cosmetic+and+Implant+Dentistry/data=!4m7!3m6!1s0x88646a8f5dcf7497:0xf93d3e0a761e3b10!8m2!3d36.2042373!4d-86.6146311!16s%2Fg%2F1w97w393!19sChIJl3TPXY9qZIgREDsedgo-Pfk?authuser=0&hl=en&rclk=1"
"South Grove Family Dentistry","4.9","404","Dentist","6688 Nolensville Pk #104, Brentwood, TN 37027, United States","https://www.southgrovedental.com/?utm_source=google.com&utm_medium=business+profile&utm_campaign=","+1 615-645-0463","https://www.google.com/maps/place/South+Grove+Family+Dentistry/data=!4m7!3m6!1s0x886471a81ef5f9d3:0x3b418b0897f9bc50!8m2!3d36.0005459!4d-86.6923972!16s%2Fg%2F11b6njmb0p!19sChIJ0_n1HqhxZIgRULz5lwiLQTs?authuser=0&hl=en&rclk=1"
"Thompson Lane Cosmetic and Family Dentistry","3.3","13","Dentist","197 Thompson Ln Suite E, Nashville, TN 37211, United States","","+1 615-837-4525","https://www.google.com/maps/place/Thompson+Lane+Cosmetic+and+Family+Dentistry/data=!4m7!3m6!1s0x88646f60742809b7:0xe86af5ae93c444b0!8m2!3d36.1101204!4d-86.7400513!16s%2Fg%2F1v8y4rzp!19sChIJtwkodGBvZIgRsETEk671aug?authuser=0&hl=en&rclk=1"
"MidTN Dentistry","4.7","227","Dentist","741 President Pl STE 120, Smyrna, TN 37167, United States","https://mymidtndentistry.com/","+1 615-220-6990","https://www.google.com/maps/place/MidTN+Dentistry/data=!4m7!3m6!1s0x88640cea7d985e0b:0x872ae8dabcd2eb57!8m2!3d35.9776697!4d-86.5598211!16s%2Fg%2F1tgfxc46!19sChIJC16YfeoMZIgRV-vSvNroKoc?authuser=0&hl=en&rclk=1"
"Tabor Dental Associates","5.0","599","Dentist","107 Maple Row Blvd, Hendersonville, TN 37075, United States","https://smilesthatrock.com/?utm_source=hendersonville-tn-listing&utm_medium=gmb&utm_campaign=seo&utm_content=website-link","+1 615-822-3200","https://www.google.com/maps/place/Tabor+Dental+Associates/data=!4m7!3m6!1s0x88644749db4f799d:0xcccef39575b3dc12!8m2!3d36.3087921!4d-86.6000948!16s%2Fg%2F1tg_xtvl!19sChIJnXlP20lHZIgREtyzdZXzzsw?authuser=0&hl=en&rclk=1"
"Brite Smilez Cosmetic & Family Dentistry","4.5","248","Dentist","5245 Hickory Hollow Pkwy, Antioch, TN 37013, United States","https://www.britesmilezdental.com/","+1 615-866-9109","https://www.google.com/maps/place/Brite+Smilez+Cosmetic+%26+Family+Dentistry/data=!4m7!3m6!1s0x88646e41dc759efd:0xed3893c4a5fd39ad!8m2!3d36.0475899!4d-86.6575492!16s%2Fg%2F1tklr8sn!19sChIJ_Z513EFuZIgRrTn9pcSTOO0?authuser=0&hl=en&rclk=1"
"Radiant Smiles Dentistry","5.0","302","Dentist","103 Cude Ln, Madison, TN 37115, United States","https://www.radiantsmilesoftn.com/","+1 615-851-7999","https://www.google.com/maps/place/Radiant+Smiles+Dentistry/data=!4m7!3m6!1s0x8864438420e9a435:0x32ead3736d7dbfab!8m2!3d36.2987245!4d-86.6949346!16s%2Fg%2F1tjt2nzd!19sChIJNaTpIIRDZIgRq799bXPT6jI?authuser=0&hl=en&rclk=1"
"West Nashville Smiles Dentistry","4.5","26","Dentist","6700 Charlotte Pike Ste #103, Nashville, TN 37209, United States","https://www.westnashvillesmilesdentistry.com/?sc_cid=GBP%3AO%3AGP%3A935%3AOrganic_Search%3AGeneral%3Ana&_vsrefdom=organic_gbp&y_source=1_MzQ3OTcxODktNzE1LWxvY2F0aW9uLndlYnNpdGU%3D","+1 615-617-5420","https://www.google.com/maps/place/West+Nashville+Smiles+Dentistry/data=!4m7!3m6!1s0x886461ecee492f29:0xfdce563af3fdea9!8m2!3d36.1369714!4d-86.8839574!16s%2Fg%2F11k9ryvzjk!19sChIJKS9J7uxhZIgRqd4_r2Pl3A8?authuser=0&hl=en&rclk=1"
"Brentwood Aesthetic & Family Dentists","5.0","252","Cosmetic dentist","5123 Virginia Way Suite B-12, Brentwood, TN 37027, United States","https://www.brentwoodfamilydentists.com/","+1 615-221-8837","https://www.google.com/maps/place/Brentwood+Aesthetic+%26+Family+Dentists/data=!4m7!3m6!1s0x88647beeb9ca7b7f:0xfa46c21cbf9a1366!8m2!3d36.0317716!4d-86.8036646!16s%2Fg%2F11dxqdl7nk!19sChIJf3vKue57ZIgRZhOavxzCRvo?authuser=0&hl=en&rclk=1"
"Sumner Dental Group - Dentist Gallatin","4.9","765","Dentist","200 S Westland Ave #1, Gallatin, TN 37066, United States","https://sumnerdentalgroup.com/","+1 615-257-3133","https://www.google.com/maps/place/Sumner+Dental+Group+-+Dentist+Gallatin/data=!4m7!3m6!1s0x8864300be5f1718b:0x4f52cd7b422b4834!8m2!3d36.3896074!4d-86.4374012!16s%2Fg%2F1tcw4b_1!19sChIJi3Hx5QswZIgRNEgrQnvNUk8?authuser=0&hl=en&rclk=1"
